year,species,mean_density_m2,sd_density_m2
2000,Mesocentrotus franciscanus,0.08055555555555555,0.12446180434470946
2000,Strongylocentrotus purpuratus,0.11481481481481481,0.10836003944327516
2001,Mesocentrotus franciscanus,0.03333333333333333,NA
2001,Strongylocentrotus purpuratus,0.24497863247863247,0.46960520014291385
2002,Mesocentrotus franciscanus,0.020833333333333336,0.005892556509887897
2002,Strongylocentrotus purpuratus,0.3475,0.7663626611435748
2003,Mesocentrotus franciscanus,0.036111111111111115,0.03310104246614718
2003,Strongylocentrotus purpuratus,0.08789351851851851,0.08860216210893417
2004,Mesocentrotus franciscanus,0.05555555555555555,0.025458753860865775
2004,Strongylocentrotus purpuratus,0.06517676767676768,0.04528924066337743
2005,Mesocentrotus franciscanus,0.020833333333333336,0.005892556509887897
2005,Strongylocentrotus purpuratus,0.08674242424242425,0.13877962874116415
2006,Mesocentrotus franciscanus,0.040625,0.028412878535387202
2006,Strongylocentrotus purpuratus,0.06722222222222222,0.0580985448794338
2007,Mesocentrotus franciscanus,0.04962121212121212,0.04884990821021945
2007,Strongylocentrotus purpuratus,0.09096296296296295,0.10588481449520501
2008,Mesocentrotus franciscanus,0.03808479532163742,0.023981820163639145
2008,Strongylocentrotus purpuratus,0.0792921146953405,0.09124050316186803
2009,Mesocentrotus franciscanus,0.06333333333333332,0.049159604012508754
2009,Strongylocentrotus purpuratus,0.13345238095238096,0.20601449443418277
2010,Mesocentrotus franciscanus,0.04212962962962963,0.05056522089130045
2010,Strongylocentrotus purpuratus,0.12112654320987654,0.11160960367772717
2011,Mesocentrotus franciscanus,0.0771875,0.09608978853744475
2011,Strongylocentrotus purpuratus,0.23169934640522874,0.5584052157553016
2012,Mesocentrotus franciscanus,0.05444444444444445,0.03322900339562814
2012,Strongylocentrotus purpuratus,0.08137254901960785,0.06727525102118675
2013,Mesocentrotus franciscanus,0.03398148148148148,0.02076620578639922
2013,Strongylocentrotus purpuratus,0.07318840579710145,0.0791558059874909
2014,Mesocentrotus franciscanus,0.08286231884057971,0.05078663160649783
2014,Strongylocentrotus purpuratus,0.8331481481481481,0.8552213674855352
2015,Mesocentrotus franciscanus,0.5041787439613526,0.3840871072976676
2015,Strongylocentrotus purpuratus,5.5909420289855065,6.018739221261052
2016,Mesocentrotus franciscanus,0.5482083333333333,0.4851572134131066
2016,Strongylocentrotus purpuratus,6.421819444444444,9.316497803950716
2017,Mesocentrotus franciscanus,0.8831623931623932,0.48315083449156493
2017,Strongylocentrotus purpuratus,10.497606837606838,11.183344235540561
2018,Mesocentrotus franciscanus,0.995042735042735,0.5835680199455192
2018,Strongylocentrotus purpuratus,12.980876068376068,11.69382530234672
2019,Mesocentrotus franciscanus,1.0253535353535352,0.428970732159226
2019,Strongylocentrotus purpuratus,15.828787878787878,9.950572014252641
2020,Mesocentrotus franciscanus,1.1812179487179486,0.6459095227552732
2020,Strongylocentrotus purpuratus,24.578247863247864,12.456548421813936
2021,Mesocentrotus franciscanus,1.1190277777777777,0.6839994822122796
2021,Strongylocentrotus purpuratus,14.820299145299145,7.445782281083898
2022,Mesocentrotus franciscanus,0.9319318181818181,0.5937892193010971
2022,Strongylocentrotus purpuratus,17.83405303030303,13.633874655778376
2023,Mesocentrotus franciscanus,0.9157264957264958,0.7113491705556017
2023,Strongylocentrotus purpuratus,14.12258547008547,10.413643014722643
