year,species_lump,mean_cov,sd_cov
2001,Mytilus californianus,7.4108458363,6.367155143308154
2003,Mytilus californianus,2.3130300694,NA
2005,Mytilus californianus,8.5203144383,8.261472192215964
2006,Mytilus californianus,0.3333333333,NA
2007,Mytilus californianus,6.8406840684,NA
2013,Mytilus californianus,1.517571885,NA
2014,Mytilus californianus,7.619949190350001,5.987701982641585
2017,Mytilus californianus,17.054461311475,14.539202437595106
2020,Mytilus californianus,24.192020879700003,23.684649731681315
2021,Mytilus californianus,26.0529979095,5.925592150974714
