year,baseline_region,site,species,site_counts_total,density_60m2_mean,density_60m2_sd,density_m2_mean,density_m2_sd
2000,CENTRAL,BLUEFISH_DC,Mesocentrotus franciscanus,3,3,NA,0.05,NA
2000,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,28,9.333333333333334,6.429100507328636,0.15555555555555556,0.10715167512214395
2000,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,5,2.5,2.1213203435596424,0.041666666666666664,0.035355339059327376
2000,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,13,6.5,6.363961030678928,0.10833333333333334,0.10606601717798213
2000,CENTRAL,HOPKINS_UC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2000,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,37,12.333333333333334,6.658328118479393,0.20555555555555555,0.11097213530798987
2000,CENTRAL,MACABEE_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2000,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2000,CENTRAL,MACABEE_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2000,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,20,6.666666666666667,5.507570547286102,0.11111111111111112,0.09179284245476838
2000,CENTRAL,MONASTERY_DC,Mesocentrotus franciscanus,20,20,NA,0.3333333333333333,NA
2000,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,62,20.666666666666668,20.13289182738867,0.34444444444444444,0.33554819712314443
2000,CENTRAL,MONASTERY_UC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2000,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,6,2,1,0.03333333333333333,0.01666666666666667
2000,CENTRAL,STILLWATER_UC,Strongylocentrotus purpuratus,2,1,0,0.016666666666666666,0
2001,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,22,5.5,5.916079783099616,0.09166666666666666,0.09860132971832693
2001,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,71,71,NA,1.1833333333333333,NA
2001,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,5,1.6666666666666667,1.1547005383792517,0.02777777777777778,0.01924500897298753
2001,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,8,4,2.8284271247461903,0.06666666666666667,0.047140452079103175
2001,CENTRAL,LINGCOD_UC,Strongylocentrotus purpuratus,38,12.666666666666666,10.969655114602888,0.2111111111111111,0.1828275852433815
2001,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,5,2.5,2.1213203435596424,0.041666666666666664,0.035355339059327376
2001,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,168,84,19.79898987322333,1.4,0.3299831645537221
2001,CENTRAL,MONASTERY_DC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2001,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,5,1.25,0.5,0.020833333333333332,0.008333333333333335
2001,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2001,CENTRAL,STILLWATER_DC,Strongylocentrotus purpuratus,2,1,0,0.016666666666666666,0
2001,CENTRAL,STILLWATER_UC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2001,CENTRAL,WESTON_DC,Strongylocentrotus purpuratus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2001,CENTRAL,WESTON_UC,Strongylocentrotus purpuratus,4,4,NA,0.06666666666666667,NA
2002,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,21,5.25,2.0615528128088303,0.0875,0.03435921354681384
2002,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,11,5.5,6.363961030678928,0.09166666666666666,0.10606601717798213
2002,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2002,CENTRAL,LINGCOD_DC,Strongylocentrotus purpuratus,150,150,NA,2.5,NA
2002,CENTRAL,LINGCOD_UC,Strongylocentrotus purpuratus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2002,CENTRAL,MACABEE_DC,Mesocentrotus franciscanus,2,1,0,0.016666666666666666,0
2002,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,41,10.25,8.616843969807043,0.17083333333333334,0.1436140661634507
2002,CENTRAL,MACABEE_UC,Mesocentrotus franciscanus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2002,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,5,2.5,2.1213203435596424,0.041666666666666664,0.035355339059327376
