 Name_of_Data_Enterer,Date_Collected,Date_Fixed,Date_Processed,Site_Number,Treatment,Species,Sample_number,Test_Height_mm,Test_Diameter_mm,Animal_Wet_Mass_g,Animal_24hr_Mass_g,Gonad_Mass_g,Soft_Tissue_Mass_g,Notes,Date_Entered
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,001,,58.62,81.83,,,36.91,,2024-05-30 15:00:52
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,002,,36.73,21.39,,,5.62,,2024-05-30 15:03:53
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,003,,43.46,34.84,,,12.71,,2024-05-30 15:06:04
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,004,,39.99,31.43,,,12.31,,2024-05-30 15:06:57
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,005,,,2.35,,,0.26,,2024-05-30 15:07:59
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,006,,40.52,24.21,,,7.4,,2024-05-30 15:09:38
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,007,,36.49,19.29,,,5.99,,2024-05-30 15:10:14
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,008,,33.13,15.54,,,5.07,,2024-05-30 15:11:02
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,009,,95.74,31.19,,,9.98,,2024-05-30 15:11:41
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,010,,32.98,14.47,,,5.14,,2024-05-30 15:12:11
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,011,,33.72,14.65,,,4.16,,2024-05-30 15:13:08
